Thông tin chỉ tiêu tuyển sinh dự kiến theo từng ngành và theo từng phương thức năm 2025 tại các cơ sỏ của trường Đại học Ngoại Thương

- Mã trường: NTH (Trường Đại học Ngoại thương - Cơ sở phía Bắc);
- NTS (Trường Đại học Ngoại thương - Cơ sở II-TP. Hồ Chí Minh)

| Stt                         | Trình độ đào tạo            | Mã chương trình/ ngành xét tuyển   | Tên chương trình/ ngành xét tuyển                                                                                  | Chỉ tiêu (dự kiến)   | Tổ hợp xét tuyển 1   | Tổ hợp xét tuyển 1   | Tổ hợp xét tuyển 2   | Tổ hợp xét tuyển 2   | Tổ hợp xét tuyển 3   | Tổ hợp xét tuyển 3              | Tổ hợp xét tuyển 4   | Tổ hợp xét tuyển 4   | Áp dụng cho nhóm đối tượng tuyển sinh                                                                                                                                                                                                                                                                                                                                                                                     |
|-----------------------------|-----------------------------|------------------------------------|--------------------------------------------------------------------------------------------------------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|---------------------------------|----------------------|----------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Stt                         | Trình độ đào tạo            | Mã chương trình/ ngành xét tuyển   | Tên chương trình/ ngành xét tuyển                                                                                  | Chỉ tiêu (dự kiến)   | Tổ hợp môn           | Môn chính            | Tổ hợp môn           | Môn chính            | Tổ hợp môn           | Môn chính                       | Tổ hợp môn           | Môn chính            | Áp dụng cho nhóm đối tượng tuyển sinh                                                                                                                                                                                                                                                                                                                                                                                     |
| I. Trụ sở chính Hà Nội      | I. Trụ sở chính Hà Nội      | I. Trụ sở chính Hà Nội             | I. Trụ sở chính Hà Nội                                                                                             |                      |                      |                      |                      |                      |                      |                                 |                      |                      |                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 1                           | Ngành Luật                  | Ngành Luật                         |                                                                                                                    | 120                  |                      |                      |                      |                      |                      |                                 |                      |                      |                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 1.1                         | ĐHCQ                        | LAWH2.1                            | Chương trình ĐHNNQT Luật Kinh doanh quốc tế theo mô hình thực hành nghề nghiệp                                     | 60                   | A00                  |                      | A01                  |                      | D01                  |                                 | D07                  |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường '-Kết hợp kết quả học tập THPT và chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và  chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và chứng chỉ tiếng Anh quốc tế theo quy định của trường |
| 1.2                         | ĐHCQ                        | LAWH1.1                            | Chương trình tiêu chuẩn Luật thương mại quốc tế                                                                    | 60                   | A00                  |                      | A01                  |                      | D01                  |                                 | D07                  |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường -Sử dụng kết quả thi ĐGNL trong nước năm 2025 theo quy định của trường -Tuyển thẳng theo quy định                                                                                                                                                                                         |
| 2                           | Ngành Kinh tế               | Ngành Kinh tế                      |                                                                                                                    |                      |                      |                      |                      |                      |                      |                                 |                      |                      |                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 2.1                         | ĐHCQ                        | KTEH4.1                            | Chương trình tiên tiến Kinh tế đối ngoại                                                                           | 80                   |                      |                      | A01                  |                      | D01                  |                                 | D07                  |                      | -Kết hợp kết quả học tập THPT và chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và  chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và chứng chỉ tiếng Anh quốc tế theo quy định của trường                                                                                                                                  |
| 2.2                         | ĐHCQ                        | KTEH2.1                            | Chương trình CLC Kinh tế đối ngoại                                                                                 | 220                  |                      |                      | A01                  |                      | D01                  |                                 | D07                  |                      | -Kết hợp kết quả học tập THPT và chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp kết quả thi tốt nghiệp THPT năm 2025 và  chứng chỉ tiếng Anh quốc tế theo quy định của trường -Kết hợp chứng chỉ năng lực quốc tế và chứng chỉ tiếng Anh quốc tế theo quy định của trường                                                                                                                                  |
| 2.3                         | ĐHCQ                        | KTEH1.1                            | Chương trình tiêu chuẩn Kinh tế đối ngoại                                                                          | 420                  | A00                  |                      | A01                  |                      | D01;D02;D03;D04;D06  |                                 | D07                  |                      | - Sử dụng kết quả học tập THPT theo quy định của trường - Sử dụng kết quả thi tốt nghiệp THPT năm 2025 theo quy định của trường -Sử dụng kết quả thi ĐGNL trong nước năm 2025 theo quy định của trường -Tuyển thẳng theo quy định                                                                                                                                                                                         |
