Thông tin về ngưỡng điểm trúng tuyển của các phương thức xét tuyển riêng của đại học Ngoại Thương năm 2024

|             Stt   |             Ngành                                                                                                  |             Mã xét tuyển   |   Phương thức 1 (HSG QG. Tỉnh/Thành phố và Hệ chuyên)   |   Phương thức 1 (HSG QG. Tỉnh/Thành phố và Hệ chuyên)   |   Phương thức 1 (HSG QG. Tỉnh/Thành phố và Hệ chuyên)    |   Phương thức 1 (HSG QG. Tỉnh/Thành phố và Hệ chuyên)   | Phương thức 2 (Chứng chỉ NNQT+ Học bạ/SAT/ ACT/ A level)   | Phương thức 2 (Chứng chỉ NNQT+ Học bạ/SAT/ ACT/ A level)   | Phương thức 2 (Chứng chỉ NNQT+ Học bạ/SAT/ ACT/ A level)   | Phương thức 3 (chứng chỉ NNQT và kết quả thi tốt nghiệp THPT 2024)   |    Phương thức 4 (kết quả thi tốt nghiệp THPT 2024)*   |     Phương thức 5 (Kết quả kỳ thi đánh giá năng lực ĐHQG)   |
|-------------------|--------------------------------------------------------------------------------------------------------------------|----------------------------|---------------------------------------------------------|---------------------------------------------------------|----------------------------------------------------------|---------------------------------------------------------|------------------------------------------------------------|------------------------------------------------------------|------------------------------------------------------------|----------------------------------------------------------------------|--------------------------------------------------------|-------------------------------------------------------------|
| Stt               | Ngành                                                                                                              | Mã xét tuyển               | Tham gia/giải HSG quốc gia                              | Giải HSG Tỉnh/TP                                        | Giải HSG Tỉnh/TP                                         | Hệ chuyên                                               | Hệ chuyên                                                  | Hệ không chuyên                                            | Chứng chỉ SAT. ACT. A-Level                                | Phương thức 3 (chứng chỉ NNQT và kết quả thi tốt nghiệp THPT 2024)   | Phương thức 4 (kết quả thi tốt nghiệp THPT 2024)*      | Phương thức 5 (Kết quả kỳ thi đánh giá năng lực ĐHQG)       |
| Stt               | Ngành                                                                                                              | Mã xét tuyển               | Tham gia/giải HSG quốc gia                              | Ngưỡng điểm trúng tuyển có điều kiện (A)                | Ngưỡng điểm trúng tuyển có điều k ện quy về thang 30 (B) | Hệ chuyên                                               | Hệ chuyên                                                  | Hệ không chuyên                                            | Chứng chỉ SAT. ACT. A-Level                                | Phương thức 3 (chứng chỉ NNQT và kết quả thi tốt nghiệp THPT 2024)   | Phương thức 4 (kết quả thi tốt nghiệp THPT 2024)*      | Phương thức 5 (Kết quả kỳ thi đánh giá năng lực ĐHQG)       |
|                   | A. TRỤ SỞ CHÍNH HÀ NỘI                                                                                             | A. TRỤ SỞ CHÍNH HÀ NỘI     | A. TRỤ SỞ CHÍNH HÀ NỘI                                  | A. TRỤ SỞ CHÍNH HÀ NỘI                                  | A. TRỤ SỞ CHÍNH HÀ NỘI                                   | A. TRỤ SỞ CHÍNH HÀ NỘI                                  | A. TRỤ SỞ CHÍNH HÀ NỘI                                     | A. TRỤ SỞ CHÍNH HÀ NỘI                                     | A. TRỤ SỞ CHÍNH HÀ NỘI                                     | A. TRỤ SỞ CHÍNH HÀ NỘI                                               | A. TRỤ SỞ CHÍNH HÀ NỘI                                 | A. TRỤ SỞ CHÍNH HÀ NỘI                                      |
| 1                 | Ngành Khoa học máy tính                                                                                            |                            |                                                         |                                                         |                                                          |                                                         |                                                            |                                                            |                                                            |                                                                      | 27.2                                                   |                                                             |
|                   | Chương trình ĐHNNQT Khoa học máy tính và dữ liệu trong kinh tế và kinh doanh                                       | KHMH2.1                    | 28.5                                                    | 30.3                                                    | 28.41                                                    | 28.7                                                    | 27.8                                                       | 28.5                                                       | 29.5                                                       | 26.33                                                                | 27.2                                                   |                                                             |
| 2                 | Ngành Kinh tế                                                                                                      |                            |                                                         |                                                         |                                                          |                                                         |                                                            |                                                            |                                                            |                                                                      | 28                                                     |                                                             |
| 2.1               | Chương trình tiên tiến Kinh tế đối ngoại                                                                           | KTEH4.1                    |                                                         |                                                         |                                                          |                                                         | 28.3                                                       | 28.8                                                       | 29.5                                                       | 28.25                                                                | 28                                                     |                                                             |
| 2.2               | Chương trình CLC Kinh tế đối ngoại                                                                                 | KTEH2.1                    |                                                         |                                                         |                                                          |                                                         | 27.6                                                       | 28.6                                                       | 29                                                         | 28.1                                                                 | 28                                                     |                                                             |
| 2.3               | Chương trình tiêu chuẩn Kinh tế đối ngoại                                                                          | KTEH1.1                    | 28.9                                                    | 30.3                                                    | 28.41                                                    | 28.5                                                    |                                                            |                                                            |                                                            |                                                                      | 28                                                     | 27.8                                                        |
